vehicle_id,vehicle_number,lap,speed
GR86-021-86,86,13,119.35159999999999
GR86-021-86,86,14,92.78112603305786
GR86-021-86,86,15,127.66011396011395
GR86-021-86,86,16,128.50675753228123
GR86-021-86,86,17,128.67720630372494
GR86-021-86,86,18,128.18985673352435
GR86-021-86,86,19,77.75412587412588
GR86-021-86,86,20,0.8127913774205334
GR86-022-13,13,1,51.158735042735046
GR86-022-13,13,2,88.9995129224652
GR86-022-13,13,3,129.26556851311955
GR86-022-13,13,4,131.54291851851852
GR86-022-13,13,5,131.01528106508877
GR86-022-13,13,6,131.92991084695393
GR86-022-13,13,7,132.3467563527653
GR86-022-13,13,8,132.41437313432837
GR86-022-13,13,9,132.4122686567164
GR86-022-13,13,10,132.4437910447761
GR86-022-13,13,11,132.24905829596412
GR86-022-13,13,12,132.06275297619047
GR86-022-13,13,13,93.06163009404388
GR86-022-13,13,14,89.8627135678392
GR86-022-13,13,15,131.43331851851852
GR86-022-13,13,16,131.86891207153502
GR86-022-13,13,17,131.31364844903987
GR86-022-13,13,18,130.53724594992636
GR86-022-13,13,19,77.22031088082902
GR86-022-13,13,20,1.0489971448965025
GR86-024-41,41,1,91.29595505617978
GR86-024-41,41,2,88.95309381237524
GR86-024-41,41,3,128.70717612809315
GR86-024-41,41,4,131.86032640949554
GR86-024-41,41,5,131.10292899408284
GR86-024-41,41,6,131.25840236686392
GR86-024-41,41,7,131.4326409495549
GR86-024-41,41,8,131.96260804769003
GR86-024-41,41,9,132.0050595238095
GR86-024-41,41,10,131.79566964285715
GR86-024-41,41,11,131.768125
GR86-024-41,41,12,131.84092124814265
GR86-024-41,41,13,94.5222104144527
GR86-024-41,41,14,90.52283536585367
GR86-024-41,41,15,130.0942731277533
GR86-024-41,41,16,131.3262962962963
GR86-024-41,41,17,132.11927083333333
GR86-024-41,41,18,129.92907488986785
GR86-024-41,41,19,76.50830155979203
GR86-024-41,41,20,0.9918243727598567
GR86-025-47,47,1,93.0078369905956
GR86-025-47,47,2,89.1297706879362
GR86-025-47,47,3,127.68997126436781
GR86-025-47,47,4,130.77279823269512
GR86-025-47,47,5,131.47783382789316
GR86-025-47,47,6,130.94041420118344
GR86-025-47,47,7,130.76302359882007
GR86-025-47,47,8,131.67989598811295
GR86-025-47,47,9,131.04917910447762
GR86-025-47,47,10,130.67269345238097
GR86-025-47,47,11,131.24055389221556
GR86-025-47,47,12,130.92827893175075
GR86-025-47,47,13,96.9140590809628
GR86-025-47,47,14,91.31553147574819
GR86-025-47,47,15,130.02011764705884
GR86-025-47,47,16,130.83134218289084
GR86-025-47,47,17,131.25544378698226
GR86-025-47,47,18,129.66340643274853
GR86-025-47,47,19,76.00185886402754
GR86-025-47,47,20,12.868849557522125
GR86-026-72,72,1,89.34041749502983
GR86-026-72,72,2,88.78734452122409
GR86-026-72,72,3,128.8229725829726
GR86-026-72,72,4,131.67480117820324
GR86-026-72,72,5,130.71090775988287
GR86-026-72,72,6,131.91653333333335
GR86-026-72,72,7,131.89732644017727
GR86-026-72,72,8,132.07031111111112
GR86-026-72,72,9,131.8450814814815
GR86-026-72,72,10,132.07501483679525
GR86-026-72,72,11,131.71297337278108
GR86-026-72,72,12,132.09997037037036
GR86-026-72,72,13,92.58278925619835
GR86-026-72,72,14,90.39090725806452
GR86-026-72,72,15,131.48640648011784
GR86-026-72,72,16,131.77408554572273
GR86-026-72,72,17,131.32910162002946
GR86-026-72,72,18,130.49835535976507
GR86-026-72,72,19,80.91448683015442
GR86-026-72,72,20,1.0055041724617524
GR86-028-89,89,1,90.33327655310622
GR86-028-89,89,2,88.88943564356435
GR86-028-89,89,3,128.95934971098265
GR86-028-89,89,4,131.39244837758113
GR86-028-89,89,5,92.37692627206646
GR86-028-89,89,6,123.44732316227463
GR86-028-89,89,7,131.5723269513991
GR86-028-89,89,8,131.62989675516226
GR86-028-89,89,9,131.70172312223858
GR86-028-89,89,10,130.56781524926686
GR86-028-89,89,11,131.1441556534508
GR86-028-89,89,12,130.7709237536657
GR86-028-89,89,13,126.31620396600567
GR86-028-89,89,14,95.94478027867095
GR86-028-89,89,15,130.58899122807017
GR86-028-89,89,16,130.58352339181286
GR86-028-89,89,17,130.1114598540146
GR86-028-89,89,18,127.7816738197425
